TITLE,Lysozyme
DATA TYPE,CD SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2019/03/26
TIME,22:58:39
SPECTROMETER/DATA SYSTEM,JASCO Corp., J-815, Rev. 1.00
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  250.0000
LASTX,  195.0000
NPOINTS,      56
FIRSTY,     0.04522
MAXY,    24.79956
MINY,   -25.10844
XYDATA
Channel 1
241,-1.25798,-1.27578,-1.2738,-1.34575,-1.29994,-1.34867,-1.3377,-1.371,-1.3917,-1.32636,-1.31234,-1.34535,-1.29778,-1.40385,-1.48048,-1.36197,-1.37528,-1.42905,-1.47578,-1.46659,-1.46426,-1.4572,-1.36534,-1.51378,-1.43556,-1.57934,-1.49024,-1.60163,-1.52793,-1.53356,-1.57491,-1.4814,-1.51532,-1.62608,-1.50426,-1.59562,-1.58596,-1.60359,-1.52708,-1.63021,-1.6407,-1.64487,-1.62328,-1.57779,-1.59821,-1.61802,-1.63512,-1.61663,-1.67261,-1.63192,-1.71077,-1.65942,-1.66431,-1.68188,-1.71644,-1.68885,-1.74018,-1.82398,-1.73989,-1.72577,-1.69017,-1.82582,-1.79351,-1.65165,-1.6387,-1.5752,-1.48394,-1.49381,-1.49012,-1.37537,-1.46782,-1.32605,-1.27434,-1.44181,-1.40303,-1.42027,-1.40775,-1.45876,-1.40534,-1.42349,-1.52772,-1.40445,-1.46803,-1.44479,-1.39688,-1.47656,-1.49694,-1.50457,-1.35961,-1.3697,-1.40834
240,-1.68256,-1.62487,-1.66777,-1.78629,-1.72068,-1.7654,-1.72294,-1.73665,-1.81918,-1.80086,-1.73838,-1.74646,-1.74525,-1.8331,-1.88311,-1.79749,-1.75766,-1.85318,-1.87961,-1.83705,-1.9451,-1.87962,-1.83218,-1.8793,-1.85294,-1.97657,-1.913,-2.00721,-1.98991,-1.96866,-2.0192,-1.90657,-1.88587,-2.04291,-1.96137,-1.99345,-1.98605,-1.97467,-1.94763,-2.02408,-2.05043,-2.04471,-2.1042,-2.00533,-2.08431,-2.05729,-2.09469,-2.06292,-2.09592,-2.10573,-2.14504,-2.07636,-2.06136,-2.1353,-2.20572,-2.16725,-2.16564,-2.28104,-2.18673,-2.19138,-2.11959,-2.23749,-2.16307,-2.02728,-2.00885,-1.99046,-1.90946,-1.85757,-1.79363,-1.73828,-1.78943,-1.68567,-1.6239,-1.76557,-1.74044,-1.75876,-1.67337,-1.77788,-1.75327,-1.7715,-1.86747,-1.67161,-1.76917,-1.74307,-1.68668,-1.82454,-1.7922,-1.85185,-1.73745,-1.68494,-1.76412
239,-2.19083,-2.14521,-2.18968,-2.33896,-2.20933,-2.21002,-2.21695,-2.22655,-2.36528,-2.33059,-2.25527,-2.22397,-2.24996,-2.3843,-2.40278,-2.30928,-2.32523,-2.38152,-2.37758,-2.35768,-2.48774,-2.396,-2.33966,-2.3886,-2.36954,-2.5174,-2.43901,-2.53976,-2.51902,-2.46301,-2.57033,-2.42917,-2.41667,-2.55939,-2.46622,-2.51429,-2.52828,-2.55316,-2.50887,-2.52264,-2.60525,-2.52787,-2.63824,-2.49668,-2.66304,-2.63187,-2.61107,-2.58875,-2.62718,-2.61437,-2.64381,-2.60373,-2.63044,-2.68951,-2.71523,-2.70187,-2.65525,-2.81913,-2.73389,-2.78265,-2.69203,-2.73564,-2.64812,-2.54485,-2.49389,-2.44329,-2.34561,-2.24272,-2.18552,-2.16431,-2.12539,-2.07649,-1.96561,-2.13074,-2.09114,-2.12018,-2.052,-2.14147,-2.10857,-2.15025,-2.19723,-2.03079,-2.10229,-2.05879,-2.06551,-2.14918,-2.13064,-2.22476,-2.07482,-2.068,-2.05587
238,-2.82024,-2.78996,-2.83591,-2.93249,-2.82806,-2.82825,-2.88352,-2.83641,-3.00145,-2.95548,-2.87921,-2.89145,-2.90423,-3.03299,-2.99485,-2.99923,-2.9973,-3.00329,-3.03931,-2.92061,-3.13887,-3.02829,-3.03874,-3.09353,-3.03915,-3.11212,-3.08384,-3.23112,-3.13899,-3.14199,-3.19257,-3.07415,-3.08727,-3.18865,-3.16257,-3.12641,-3.19783,-3.15523,-3.20118,-3.13725,-3.24704,-3.15357,-3.30023,-3.18149,-3.30162,-3.26899,-3.25439,-3.26879,-3.23298,-3.26626,-3.27344,-3.28219,-3.27759,-3.3659,-3.37544,-3.37633,-3.28271,-3.45429,-3.39305,-3.41525,-3.30889,-3.31067,-3.27969,-3.18437,-3.04965,-2.97032,-2.83914,-2.63835,-2.59169,-2.61524,-2.4999,-2.49514,-2.39016,-2.51835,-2.50149,-2.55597,-2.49376,-2.55725,-2.50943,-2.56099,-2.60182,-2.39041,-2.48416,-2.45558,-2.4617,-2.55413,-2.49803,-2.55416,-2.45952,-2.38012,-2.39388
237,-3.63382,-3.52737,-3.58376,-3.67742,-3.58047,-3.64021,-3.63621,-3.62433,-3.792,-3.72143,-3.67542,-3.66385,-3.68182,-3.81853,-3.7617,-3.76215,-3.77645,-3.79289,-3.8242,-3.67737,-3.94483,-3.84652,-3.82083,-3.86012,-3.82088,-3.89096,-3.86677,-4.01302,-3.92941,-3.92267,-3.97556,-3.93731,-3.87825,-3.94205,-3.99168,-3.96657,-3.9877,-3.87972,-4.00104,-3.91858,-4.0368,-3.95386,-4.03224,-3.9329,-4.06072,-4.05402,-4.11134,-4.04968,-4.04735,-4.04285,-4.07903,-4.09295,-4.04503,-4.1598,-4.16107,-4.17617,-4.05454,-4.1696,-4.1626,-4.16413,-4.04578,-4.05738,-3.97176,-3.87783,-3.7281,-3.54333,-3.40378,-3.11764,-3.0374,-3.01452,-2.9436,-2.99705,-2.89784,-2.95697,-2.94494,-2.95668,-2.93377,-2.93313,-2.86406,-2.91254,-3.01703,-2.85568,-2.89797,-2.87568,-2.87326,-2.92069,-2.88587,-2.90393,-2.84229,-2.77861,-2.78877
236,-4.61168,-4.48799,-4.5621,-4.5818,-4.57911,-4.5578,-4.54675,-4.55738,-4.69854,-4.70546,-4.61676,-4.60743,-4.62508,-4.75006,-4.6427,-4.67221,-4.71715,-4.729,-4.75835,-4.62267,-4.86674,-4.77879,-4.72759,-4.78008,-4.78462,-4.80759,-4.80162,-4.93722,-4.85989,-4.86113,-4.9105,-4.89457,-4.79664,-4.9042,-4.96437,-4.90988,-4.87033,-4.79344,-4.94012,-4.8859,-4.94806,-4.81578,-4.93556,-4.85583,-5.00632,-5.06159,-5.05777,-5.00352,-4.96312,-4.98313,-4.97998,-5.07663,-4.97814,-5.0684,-5.06532,-5.07683,-5.0098,-5.09304,-5.0656,-4.98902,-4.93971,-4.85817,-4.7693,-4.62515,-4.50814,-4.16238,-4.02888,-3.63981,-3.51914,-3.47138,-3.42066,-3.53363,-3.4196,-3.36896,-3.45919,-3.41784,-3.40276,-3.39733,-3.3212,-3.40885,-3.40493,-3.37073,-3.34376,-3.32773,-3.35125,-3.34852,-3.28759,-3.3555,-3.2397,-3.16694,-3.15572
235,-5.71488,-5.66532,-5.70756,-5.73078,-5.68092,-5.65579,-5.67629,-5.72767,-5.79071,-5.8508,-5.77917,-5.71094,-5.7423,-5.86005,-5.74305,-5.8056,-5.8746,-5.80194,-5.91791,-5.80095,-5.93277,-5.83179,-5.80149,-5.99547,-5.93543,-5.86837,-5.9514,-5.97198,-5.9737,-5.95912,-6.01585,-5.99847,-5.95141,-5.94669,-6.04296,-5.9678,-5.9925,-5.9283,-6.01938,-6.01166,-6.01879,-5.96478,-5.99839,-5.9693,-6.05602,-6.1204,-6.05833,-6.05154,-6.03066,-6.0257,-6.0563,-6.13728,-6.0784,-6.16305,-6.06645,-6.11157,-6.12196,-6.13044,-6.06042,-6.01452,-5.94574,-5.86854,-5.73715,-5.54057,-5.32571,-4.92271,-4.69131,-4.22047,-4.05423,-4.00773,-3.96323,-4.01842,-3.9603,-3.86774,-3.8966,-3.88898,-3.87285,-3.90084,-3.80585,-3.90762,-3.86872,-3.8953,-3.77795,-3.83291,-3.84989,-3.76953,-3.78975,-3.82219,-3.65988,-3.61508,-3.57197
234,-7.07003,-6.94797,-7.00804,-7.00804,-6.95398,-6.94652,-7.02912,-7.05775,-7.07904,-7.13797,-7.05607,-7.03914,-7.05721,-7.19293,-7.04568,-7.10664,-7.15889,-7.10016,-7.26326,-7.12539,-7.20685,-7.14852,-7.0681,-7.29118,-7.18974,-7.1406,-7.22603,-7.26524,-7.18579,-7.26015,-7.26815,-7.30124,-7.21009,-7.19602,-7.30185,-7.15679,-7.23818,-7.18211,-7.27394,-7.29467,-7.22706,-7.20458,-7.19922,-7.23685,-7.20893,-7.33351,-7.26161,-7.3059,-7.22846,-7.23902,-7.26225,-7.34532,-7.31788,-7.35171,-7.28309,-7.32285,-7.32106,-7.27835,-7.24858,-7.17197,-7.05431,-6.95124,-6.76293,-6.52058,-6.28981,-5.78306,-5.40535,-4.92492,-4.62939,-4.5799,-4.56677,-4.53566,-4.54005,-4.4385,-4.42198,-4.44779,-4.41382,-4.44535,-4.33444,-4.41582,-4.42409,-4.40715,-4.31569,-4.38112,-4.37309,-4.27691,-4.3173,-4.30872,-4.16872,-4.06534,-4.04678
233,-8.58961,-8.41612,-8.48284,-8.49723,-8.42527,-8.40248,-8.4666,-8.53636,-8.46778,-8.61213,-8.52324,-8.42009,-8.52588,-8.6467,-8.47803,-8.5066,-8.52891,-8.54134,-8.72501,-8.59175,-8.59205,-8.59257,-8.49838,-8.59998,-8.5848,-8.51795,-8.64501,-8.61189,-8.60194,-8.5947,-8.66773,-8.6695,-8.57743,-8.62705,-8.6342,-8.52333,-8.57221,-8.54324,-8.57196,-8.67279,-8.5448,-8.56993,-8.51646,-8.61278,-8.5284,-8.58677,-8.51884,-8.61172,-8.55091,-8.55824,-8.59529,-8.61591,-8.5947,-8.58402,-8.49951,-8.62054,-8.56171,-8.53074,-8.47308,-8.38051,-8.26675,-8.09403,-7.89787,-7.5434,-7.26122,-6.62152,-6.21488,-5.61881,-5.26409,-5.1179,-5.19601,-5.07116,-5.07425,-5.01666,-5.02447,-4.94429,-4.95684,-5.00036,-4.91228,-4.92771,-4.94924,-4.94579,-4.84221,-4.94432,-4.79743,-4.81332,-4.81523,-4.85552,-4.63057,-4.61911,-4.58841
232,-10.0965,-9.93579,-10.0181,-10.0514,-9.96642,-9.91825,-9.99949,-10.0589,-10.0058,-10.1294,-10.062,-9.94689,-9.97497,-10.1015,-9.94686,-10.0404,-10.0482,-10.067,-10.1964,-10.0835,-10.0556,-10.0406,-9.92434,-10.0478,-10.101,-9.94522,-10.1065,-9.96623,-10.0396,-9.96966,-10.006,-10.0805,-9.98218,-9.99854,-9.9776,-9.88873,-9.91501,-9.97036,-9.90548,-10.0578,-9.95474,-9.92345,-9.95079,-9.9738,-9.83542,-9.90891,-9.87833,-9.93708,-9.86564,-9.92355,-9.91347,-9.95973,-9.95648,-9.90887,-9.86558,-9.86957,-9.83605,-9.77491,-9.73646,-9.62924,-9.48178,-9.35082,-9.01963,-8.62069,-8.26145,-7.58452,-7.0115,-6.35924,-5.95919,-5.73137,-5.83002,-5.62406,-5.66599,-5.59514,-5.61333,-5.56599,-5.52883,-5.55609,-5.57387,-5.57592,-5.54754,-5.44813,-5.44185,-5.51418,-5.40455,-5.36081,-5.35683,-5.44251,-5.22242,-5.16615,-5.07126
