232.332, 11.410
232.602, 11.479
232.794, 10.888
232.959, 11.285
232.959, 11.236
232.959, 11.187
232.959, 11.137
232.959, 11.088
232.959, 11.039
232.959, 10.990
232.959, 10.940
232.985, 11.346
233.422, 10.757
233.422, 10.707
233.422, 10.658
233.422, 10.609
233.422, 10.560
233.422, 10.510
233.422, 10.461
233.607, 10.824
233.719, 10.057
233.884, 10.355
233.884, 10.306
233.884, 10.257
233.884, 10.208
233.884, 10.158
233.884, 10.109
234.049, 10.408
234.181, 9.611
234.346, 10.009
234.346, 9.960
234.346, 9.910
234.346, 9.861
234.346, 9.812
234.346, 9.762
234.346, 9.713
234.346, 9.664
234.644, 9.115
234.809, 9.563
234.809, 9.513
234.809, 9.464
234.809, 9.415
234.809, 9.365
234.809, 9.316
234.809, 9.267
234.809, 9.217
234.809, 9.168
235.106, 8.710
235.271, 9.009
235.271, 8.960
235.271, 8.911
235.271, 8.861
235.271, 8.812
235.271, 8.763
235.304, 9.062
235.569, 8.315
235.734, 8.663
235.734, 8.613
235.734, 8.564
235.734, 8.515
235.734, 8.466
235.734, 8.416
235.734, 8.367
236.031, 7.987
236.196, 8.186
236.196, 8.137
236.196, 8.088
236.196, 8.038
236.381, 8.252
236.493, 7.735
236.658, 7.936
236.658, 7.886
236.658, 7.837
236.658, 7.788
236.956, 7.477
237.121, 7.629
237.121, 7.579
237.121, 7.530
237.220, 7.680
237.583, 7.429
237.583, 7.379
237.583, 7.330
237.583, 7.281
237.583, 7.232
237.583, 7.182
237.583, 7.133
238.046, 7.011
238.046, 6.962
238.046, 6.912
238.046, 6.863
238.123, 7.073
238.161, 6.822
238.508, 6.726
238.508, 6.677
238.508, 6.628
238.673, 6.780
238.805, 6.453
238.855, 6.565
238.971, 6.506
239.268, 6.232
239.433, 6.332
239.433, 6.283
239.510, 6.392
239.895, 6.118
239.895, 6.069
239.895, 6.020
240.127, 6.177
240.127, 6.610
240.193, 5.911
240.523, 5.971
240.655, 5.761
240.820, 5.863
240.820, 5.814
241.118, 5.611
241.283, 5.713
241.283, 5.663
241.580, 5.505
241.910, 5.559
242.042, 5.405
242.207, 5.458
242.505, 5.305
242.670, 5.358
242.967, 5.196
243.165, 5.252
243.595, 5.147
243.641, 5.104
244.162, 5.040
244.597, 4.964
244.982, 4.900
245.444, 4.848
246.072, 4.800
246.774, 4.749
247.294, 4.697
248.681, 4.643
250.300, 4.596
252.822, 4.614
255.513, 4.627
257.110, 4.709
257.467, 4.648
258.007, 4.789
258.623, 4.740
259.034, 4.850
260.357, 4.898
261.757, 4.950
262.734, 5.011
263.710, 5.080
264.106, 5.145
264.172, 5.020
264.569, 5.199
264.892, 5.259
265.791, 5.335
266.821, 5.416
