Wavelength[nm];Absorption
200.69;1.931590909090909
202.75;1.978409090909091
205.01;2.0914545454545452
207.21;2.1565454545454545
209.4;2.1947727272727273
211.6;2.2247945205479454
213.79;2.2547727272727274
215.98;2.286181818181818
218.18;2.3292727272727274
220.38;2.3903553299492386
222.21;2.492380952380955
224.48;3.0
226.19;3.0
227.59;3.0
228.44;3.0
229.55;3.0
230.59;3.0
231.27;3.0
232.1;3.0
232.75;3.0
233.37;3.0
234.19;3.0
234.4;3.0
235.17;3.0004109589041095
235.89;3.003698630136986
236.67;3.0072602739726024
236.97;3.008630136986301
237.69;2.9725
238.47;2.885757575757573
238.77;2.7877777777777735
239.49;2.475454545454539
239.92;2.3388888888888917
240.57;2.208333333333333
241.3;2.0649999999999977
242.23;1.8732307692307706
243.64;1.6252173913043524
244.78;1.279000000000001
246.18;1.0018518518518498
248.4;0.7092366412213725
250.59;0.5283486238532099
252.78;0.37531468531468504
254.98;0.2656521739130441
256.99;0.2275000000000001
260.28;0.21251141552511393
263.75;0.23663636363636356
265.95;0.2634615384615385
268.14;0.31581818181818105
270.34;0.40098591549295576
272.54;0.4960869565217402
274.73;0.5890277777777775
276.93;0.7528181818181829
279.12;0.931181818181817
281.31;1.1274774774774776
283.51;1.3165765765765765
285.7;1.492698412698412
287.89;1.6628571428571408
290.08;1.8186206896551709
292.27;1.9522222222222199
294.46;2.0710909090909086
296.73;2.1418181818181825
298.71;2.1641095890410957
301.03;2.1195433789954357
303.23;2.0189189189189176
305.42;1.8828124999999982
307.62;1.6944954128440364
309.81;1.494220183486239
312.0;1.292660550458717
314.2;1.0677981651376156
316.39;0.8616000000000031
318.59;0.6839999999999999
320.78;0.518503937007875
322.98;0.38124137931034374
325.17;0.29169014084506945
327.36;0.23054794520547844
329.56;0.17356164383561581
331.75;0.12684931506849298
333.95;0.09000000000000052
336.14;0.06336363636363669
338.33;0.04342465753424684
340.53;0.02666666666666684
342.72;0.013363636363636165
344.91;0.0
347.11;-0.00333333333333342
349.3;-0.01
351.5;-0.01
353.69;-0.01
355.89;-0.01
358.08;-0.01
360.28;-0.01
362.47;-0.01
364.12;-0.01
