Wavelength [nm],Bare Silicon Wafer
754,0.440407
755,0.440861
756,0.441106
757,0.441004
758,0.441649
759,0.441659
760,0.441805
761,0.44121
762,0.441418
763,0.441219
764,0.441789
765,0.442668
766,0.442451
767,0.443041
768,0.442578
769,0.442536
770,0.442532
771,0.44242
772,0.442488
773,0.441914
774,0.442814
775,0.443372
776,0.443626
777,0.443788
778,0.443385
779,0.443355
780,0.443823
781,0.443645
782,0.443611
783,0.443881
784,0.443723
785,0.443774
786,0.444041
787,0.444446
788,0.445002
789,0.444444
790,0.444361
791,0.445298
792,0.445229
793,0.444662
794,0.445618
795,0.446541
796,0.445342
797,0.444696
798,0.4451
799,0.44495
800,0.445294
801,0.445381
802,0.445961
803,0.445454
804,0.445809
805,0.447221
806,0.446773
807,0.446344
808,0.44668
809,0.44763
810,0.447225
811,0.446357
812,0.446173
813,0.446642
814,0.446999
815,0.447698
816,0.44668
817,0.44618
818,0.446965
819,0.446556
820,0.446879
821,0.448069
822,0.44779
823,0.4471
824,0.44672
825,0.446235
826,0.447101
827,0.447556
828,0.447955
829,0.448052
830,0.447119
831,0.44751
832,0.448926
833,0.448228
834,0.448012
835,0.448737
836,0.448854
837,0.449294
838,0.448149
839,0.447906
840,0.450469
841,0.449699
842,0.448907
843,0.449706
844,0.449522
845,0.450614
846,0.450464
847,0.448962
848,0.449756
849,0.448434
850,0.448118
851,0.448134
852,0.449346
853,0.451485
854,0.452053
855,0.450447
856,0.451488
857,0.450573
858,0.450768
859,0.443348
860,0.447314
861,0.447599
862,0.443461
863,0.444243
864,0.445834
865,0.4457
866,0.445303
867,0.44553
868,0.445718
869,0.446068
870,0.446833
871,0.447277
872,0.447292
873,0.447644
874,0.446651
875,0.447294
876,0.448045
877,0.449381
878,0.449055
879,0.448699
880,0.448732
881,0.448572
882,0.448951
883,0.449085
884,0.449115
885,0.449198
886,0.449437
887,0.44954
888,0.449751
889,0.449636
890,0.44963
891,0.450049
892,0.450082
893,0.449779
894,0.45031
895,0.450545
896,0.45048
897,0.450708
898,0.450562
899,0.450925
900,0.451171
901,0.451047
902,0.451381
903,0.450605
904,0.450535
905,0.451759
906,0.451945
907,0.451905
908,0.452041
909,0.452145
910,0.451555
911,0.451177
912,0.452046
913,0.452368
914,0.452377
915,0.452861
916,0.452003
917,0.452374
918,0.452585
919,0.453137
920,0.452404
921,0.452901
922,0.453056
923,0.453279
924,0.453778
925,0.45352
926,0.452866
927,0.453357
928,0.453552
929,0.453527
930,0.453376
931,0.453117
932,0.453899
933,0.45393
934,0.454232
935,0.454403
936,0.45423
937,0.454345
938,0.454377
939,0.455015
940,0.454584
941,0.454044
942,0.454379
943,0.454477
944,0.455067
945,0.454762
946,0.454686
947,0.454794
948,0.455207
949,0.455196
950,0.455291
951,0.454907
952,0.454995
953,0.45536
954,0.45514
955,0.455562
956,0.455346
957,0.455224
958,0.455785
959,0.456003
960,0.455513
961,0.455278
962,0.455554
963,0.456066
964,0.455909
965,0.455799
966,0.455861
967,0.455913
968,0.455657
969,0.456074
970,0.456164
971,0.456097
972,0.456169
973,0.456006
974,0.456225
975,0.456101
976,0.45636
977,0.455999
978,0.456994
979,0.45579
980,0.456138
981,0.45601
982,0.456247
983,0.456401
984,0.456118
985,0.455861
986,0.455991
987,0.455738
988,0.456428
989,0.456068
990,0.455638
991,0.455627
992,0.455154
993,0.455107
994,0.455096
995,0.454527
996,0.454044
997,0.454071
998,0.453646
999,0.4531
1000,0.452864
1001,0.452707
1002,0.45216
1003,0.451584
1004,0.451411
1005,0.450244
1006,0.449239
1007,0.448581
1008,0.447225
1009,0.446442
1010,0.445693
1011,0.444702
1012,0.443642
1013,0.442228
1014,0.440737
1015,0.439593
1016,0.438156
1017,0.436359
1018,0.434611
1019,0.432913
1020,0.431216
1021,0.428588
1022,0.426432
1023,0.424534
1024,0.422152
1025,0.41906
1026,0.416516
1027,0.41348
1028,0.410193
1029,0.407312
1030,0.404308
1031,0.400549
1032,0.397272
1033,0.39355
1034,0.389467
1035,0.385879
1036,0.38159
1037,0.377167
1038,0.372933
1039,0.368101
